"","country_code"
"0","AGO"
"1","ALB"
"2","ARE"
"3","ARG"
"4","AUS"
"5","AUT"
"6","AZE"
"7","BGD"
"8","BGR"
"9","BHR"
"10","BLR"
"11","BLZ"
"12","BOL"
"13","BRA"
"14","BRB"
"15","BRN"
"16","CAN"
"17","CHL"
"18","CHN"
"19","CIV"
"20","CMR"
"21","COD"
"22","COG"
"23","COL"
"24","CUB"
"25","CZE"
"26","DEU"
"27","DNK"
"28","DZA"
"29","ECU"
"30","EGY"
"31","ESP"
"32","FRA"
"33","GAB"
"34","GBR"
"35","GEO"
"36","GHA"
"37","GNQ"
"38","GRC"
"39","GTM"
"40","GUY"
"41","HRV"
"42","HUN"
"43","IDN"
"44","IND"
"45","IRN"
"46","IRQ"
"47","ITA"
"48","JOR"
"49","JPN"
"50","KAZ"
"51","KGZ"
"52","KWT"
"53","LBY"
"54","LTU"
"55","MAR"
"56","MEX"
"57","MMR"
"58","MNG"
"59","MYS"
"60","NER"
"61","NGA"
"62","NLD"
"63","NOR"
"64","NZL"
"65","OMN"
"66","PAK"
"67","PER"
"68","PHL"
"69","PNG"
"70","POL"
"71","QAT"
"72","ROU"
"73","RUS"
"74","SAU"
"75","SDN"
"76","SRB"
"77","SSD"
"78","SUR"
"79","SVK"
"80","SYR"
"81","TCD"
"82","THA"
"83","TJK"
"84","TKM"
"85","TLS"
"86","TTO"
"87","TUN"
"88","TUR"
"89","UKR"
"90","USA"
"91","UZB"
"92","VEN"
"93","VNM"
"94","YEM"
"95","ZAF"
